MATRICULA,IDADE,ESTADO_CIVIL_ALUNOS,RAZAO_INATIVIDADE,TIPO_ENSINO_MEDIO,ANO_FORMATURA_ENSINO_MEDIO,NOTA,ESTATUS,TERMO,GENERO_MASCULINO,NACIONALIDADE_BRASILEIRA_POR_NATURALIZACAO,NACIONALIDADE_ESTRANGEIRA,TIPO_ADMISSAO_DECISAO_JUDICIAL_ADM,TIPO_ADMISSAO_GRADUADO,TIPO_ADMISSAO_REOPCAO,TIPO_ADMISSAO_SISU,TIPO_ADMISSAO_TRANSFERENCIA,TIPO_ADMISSAO_VESTIBULAR,POLITICA_AFIRMATIVA_BONUS,POLITICA_AFIRMATIVA_L1,POLITICA_AFIRMATIVA_L10,POLITICA_AFIRMATIVA_L13,POLITICA_AFIRMATIVA_L14,POLITICA_AFIRMATIVA_L2,POLITICA_AFIRMATIVA_L5,POLITICA_AFIRMATIVA_L6,POLITICA_AFIRMATIVA_L9
118210319,24,3,0,4,2017.0,8.4,0,2018.2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
116211252,30,3,0,3,2011.0,-1.0,6,2018.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109210011,34,3,7,0,2011.0,9.0,0,2010.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111110124,39,3,5,3,2003.0,3.3,5,2011.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113210158,30,3,5,4,2013.0,0.0,6,2013.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
115111095,26,3,0,3,2014.0,-1.0,1,2015.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113112637,29,3,5,3,2012.0,3.8,5,2013.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115111578,28,3,0,2,2013.0,5.0,0,2018.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119210551,24,3,2,4,2017.0,9.8,0,2022.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
115111014,27,3,0,4,2014.0,7.2,0,2016.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
110210381,32,3,0,0,2011.0,5.3,0,2011.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110110850,33,3,5,0,2011.0,3.6,5,2010.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112210472,29,3,7,3,2011.0,7.0,0,2012.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107110036,42,3,7,0,2011.0,8.0,0,2009.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113112293,29,3,5,3,2012.0,3.7,5,2014.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113210428,34,3,0,3,2008.0,-1.0,6,2016.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110110126,38,3,5,0,2011.0,7.4,0,2010.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120210136,22,3,8,3,2019.0,2.4,5,2022.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
